GPS_date,GPS_time,GPS_milliseconds,Latitude,Longitude,UTC_offset_seconds
2019-08-19,22:46:30,624,-13.66616,155.39959,0
2019-08-19,22:46:40,623,-13.66589,155.39909,0
2019-08-19,22:46:50,624,-13.66563,155.39858,0
2019-08-19,22:47:00,624,-13.66536,155.39806,0
2019-08-19,22:47:10,623,-13.66509,155.39756,0
2019-08-19,22:47:20,624,-13.66483,155.39705,0
2019-08-19,22:47:30,624,-13.66457,155.39654,0
2019-08-19,22:47:40,623,-13.66431,155.39602,0
2019-08-19,22:47:50,624,-13.66405,155.39551,0
2019-08-19,22:48:00,624,-13.66379,155.395,0
2019-08-19,22:48:10,623,-13.66353,155.3945,0
2019-08-19,22:48:20,624,-13.66326,155.39399,0
2019-08-19,22:48:30,624,-13.66299,155.39348,0
2019-08-19,22:48:40,623,-13.66273,155.39298,0
2019-08-19,22:48:50,624,-13.66246,155.39246,0
2019-08-19,22:49:00,624,-13.6622,155.39195,0
2019-08-19,22:49:10,623,-13.66193,155.39145,0
2019-08-19,22:49:20,624,-13.66167,155.39094,0
2019-08-19,22:49:30,624,-13.66141,155.39042,0
2019-08-19,22:49:40,624,-13.66114,155.38991,0
2019-08-19,22:49:50,624,-13.66088,155.38941,0
2019-08-19,22:50:00,624,-13.66061,155.38889,0
2019-08-19,22:50:10,624,-13.66035,155.38838,0
2019-08-19,22:50:20,624,-13.66009,155.38787,0
2019-08-19,22:50:30,624,-13.65982,155.38735,0
2019-08-19,22:50:40,624,-13.65956,155.38683,0
2019-08-19,22:50:50,624,-13.6593,155.38632,0
2019-08-19,22:51:00,624,-13.65904,155.38581,0
2019-08-19,22:51:10,624,-13.65877,155.38529,0
2019-08-19,22:51:20,624,-13.6585,155.38477,0
2019-08-19,22:51:30,624,-13.65823,155.38427,0
2019-08-19,22:51:40,624,-13.65796,155.38376,0
2019-08-19,22:51:50,624,-13.65769,155.38325,0
2019-08-19,22:52:00,624,-13.65742,155.38273,0
2019-08-19,22:52:10,624,-13.65715,155.38222,0
2019-08-19,22:52:20,624,-13.65687,155.3817,0
2019-08-19,22:52:30,624,-13.65661,155.38119,0
2019-08-19,22:52:40,624,-13.65635,155.38067,0
2019-08-19,22:52:50,624,-13.65608,155.38015,0
2019-08-19,22:53:00,624,-13.65581,155.37964,0
2019-08-19,22:53:10,624,-13.65555,155.37913,0
2019-08-19,22:53:20,624,-13.65528,155.37861,0
2019-08-19,22:53:30,624,-13.65501,155.37809,0
2019-08-19,22:53:40,624,-13.65475,155.37758,0
2019-08-19,22:53:50,624,-13.65447,155.37706,0
2019-08-19,22:54:00,624,-13.6542,155.37655,0
2019-08-19,22:54:10,624,-13.65394,155.37604,0
2019-08-19,22:54:20,624,-13.65368,155.37551,0
2019-08-19,22:54:30,624,-13.65341,155.37499,0
2019-08-19,22:54:40,624,-13.65314,155.37448,0
2019-08-19,22:54:50,624,-13.65287,155.37396,0
2019-08-19,22:55:00,624,-13.6526,155.37344,0
2019-08-19,22:55:10,624,-13.65233,155.37293,0
2019-08-19,22:55:20,624,-13.65207,155.37241,0
2019-08-19,22:55:30,624,-13.6518,155.3719,0
2019-08-19,22:55:40,624,-13.65152,155.37138,0
2019-08-19,22:55:50,624,-13.65125,155.37087,0
2019-08-19,22:56:00,624,-13.65098,155.37036,0
2019-08-19,22:56:10,624,-13.65071,155.36984,0
2019-08-19,22:56:20,624,-13.65044,155.36933,0
2019-08-19,22:56:30,624,-13.65017,155.36881,0
2019-08-19,22:56:40,624,-13.6499,155.36829,0
2019-08-19,22:56:50,624,-13.64963,155.36778,0
2019-08-19,22:57:00,624,-13.64937,155.36726,0
2019-08-19,22:57:10,624,-13.64909,155.36674,0
